currency,rate,date
USD,1.1505,2016-05-04
JPY,122.62,2016-05-04
BGN,1.9558,2016-05-04
CZK,27.031,2016-05-04
DKK,7.4404,2016-05-04
GBP,0.79284,2016-05-04
HUF,312.58,2016-05-04
PLN,4.3936,2016-05-04
RON,4.492,2016-05-04
SEK,9.263,2016-05-04
CHF,1.0993,2016-05-04
NOK,9.341,2016-05-04
HRK,7.511,2016-05-04
RUB,75.956,2016-05-04
TRY,3.2893,2016-05-04
AUD,1.5379,2016-05-04
BRL,4.1091,2016-05-04
CAD,1.467,2016-05-04
CNY,7.4789,2016-05-04
HKD,8.9295,2016-05-04
IDR,15320.06,2016-05-04
ILS,4.3407,2016-05-04
INR,76.611,2016-05-04
KRW,1338.14,2016-05-04
MXN,20.4573,2016-05-04
MYR,4.612,2016-05-04
NZD,1.6669,2016-05-04
PHP,54.352,2016-05-04
SGD,1.5605,2016-05-04
THB,40.377,2016-05-04
ZAR,17.0072,2016-05-04
USD,1.1569,2016-05-03
JPY,122.53,2016-05-03
BGN,1.9558,2016-05-03
CZK,27.037,2016-05-03
DKK,7.4424,2016-05-03
GBP,0.79103,2016-05-03
HUF,311.85,2016-05-03
PLN,4.3844,2016-05-03
RON,4.4879,2016-05-03
SEK,9.2305,2016-05-03
CHF,1.0977,2016-05-03
NOK,9.309,2016-05-03
HRK,7.51,2016-05-03
RUB,76.9498,2016-05-03
TRY,3.2718,2016-05-03
AUD,1.5303,2016-05-03
BRL,4.102,2016-05-03
CAD,1.4559,2016-05-03
CNY,7.5013,2016-05-03
HKD,8.9769,2016-05-03
IDR,15276.83,2016-05-03
ILS,4.3376,2016-05-03
INR,76.8128,2016-05-03
KRW,1323.75,2016-05-03
MXN,20.146,2016-05-03
MYR,4.5735,2016-05-03
NZD,1.6572,2016-05-03
PHP,54.425,2016-05-03
SGD,1.5574,2016-05-03
THB,40.422,2016-05-03
ZAR,16.7316,2016-05-03
USD,1.1493,2016-05-02
JPY,122.47,2016-05-02
BGN,1.9558,2016-05-02
CZK,27.048,2016-05-02
DKK,7.4414,2016-05-02
GBP,0.78248,2016-05-02
HUF,310.84,2016-05-02
PLN,4.3833,2016-05-02
RON,4.4815,2016-05-02
SEK,9.1803,2016-05-02
CHF,1.0999,2016-05-02
NOK,9.233,2016-05-02
HRK,7.513,2016-05-02
RUB,74.4081,2016-05-02
TRY,3.208,2016-05-02
AUD,1.5025,2016-05-02
BRL,3.9731,2016-05-02
CAD,1.4388,2016-05-02
CNY,7.4418,2016-05-02
HKD,8.917,2016-05-02
IDR,15125.45,2016-05-02
ILS,4.3056,2016-05-02
INR,76.3185,2016-05-02
KRW,1307.85,2016-05-02
MXN,19.6826,2016-05-02
MYR,4.4875,2016-05-02
NZD,1.6368,2016-05-02
PHP,54.068,2016-05-02
SGD,1.541,2016-05-02
THB,40.076,2016-05-02
ZAR,16.3027,2016-05-02
USD,1.1403,2016-04-29
JPY,122.34,2016-04-29
BGN,1.9558,2016-04-29
CZK,27.038,2016-04-29
DKK,7.444,2016-04-29
GBP,0.78025,2016-04-29
HUF,312.23,2016-04-29
PLN,4.3965,2016-04-29
RON,4.477,2016-04-29
SEK,9.1689,2016-04-29
CHF,1.0984,2016-04-29
NOK,9.215,2016-04-29
HRK,7.511,2016-04-29
RUB,73.2286,2016-04-29
TRY,3.1934,2016-04-29
AUD,1.4948,2016-04-29
BRL,3.9738,2016-04-29
CAD,1.4286,2016-04-29
CNY,7.3943,2016-04-29
HKD,8.8466,2016-04-29
IDR,15034.86,2016-04-29
ILS,4.2666,2016-04-29
INR,75.6985,2016-04-29
KRW,1301.53,2016-04-29
MXN,19.557,2016-04-29
MYR,4.4546,2016-04-29
NZD,1.6357,2016-04-29
PHP,53.504,2016-04-29
SGD,1.5311,2016-04-29
THB,39.819,2016-04-29
ZAR,16.1567,2016-04-29
USD,1.1358,2016-04-28
JPY,122.84,2016-04-28
BGN,1.9558,2016-04-28
CZK,27.045,2016-04-28
DKK,7.4432,2016-04-28
GBP,0.77838,2016-04-28
HUF,310.7,2016-04-28
PLN,4.388,2016-04-28
RON,4.4723,2016-04-28
SEK,9.1763,2016-04-28
CHF,1.0974,2016-04-28
NOK,9.246,2016-04-28
